date,sales
2022-01-01,231
2022-01-02,245
2022-01-03,199
2022-01-04,150
2022-01-05,222
2022-01-06,215
2022-01-07,240
2022-01-08,236
2022-01-09,245
2022-01-10,171
2022-01-11,204
2022-01-12,243
2022-01-13,180
2022-01-14,198
2022-01-15,239
2022-01-16,215
2022-01-17,320
2022-01-18,176
2022-01-19,178
2022-01-20,209
2022-01-21,206
2022-01-22,268
2022-01-23,202
2022-01-24,193
2022-01-25,193
2022-01-26,175
2022-01-27,204
2022-01-28,259
2022-01-29,196
2022-01-30,221
2022-01-31,205
2022-02-01,175
2022-02-02,175
2022-02-03,173
2022-02-04,239
2022-02-05,239
2022-02-06,225
2022-02-07,206
2022-02-08,163
2022-02-09,204
2022-02-10,205
2022-02-11,209
2022-02-12,278
2022-02-13,237
2022-02-14,176
2022-02-15,166
2022-02-16,180
2022-02-17,215
2022-02-18,256
2022-02-19,188
2022-02-20,236
2022-02-21,352
2022-02-22,179
2022-02-23,237
2022-02-24,195
2022-02-25,218
2022-02-26,193
2022-02-27,226
2022-02-28,198
2022-03-01,198
2022-03-02,205
2022-03-03,216
2022-03-04,238
2022-03-05,278
2022-03-06,205
2022-03-07,254
2022-03-08,204
2022-03-09,182
2022-03-10,178
2022-03-11,235
2022-03-12,234
2022-03-13,236
2022-03-14,209
2022-03-15,186
2022-03-16,183
2022-03-17,169
2022-03-18,204
2022-03-19,249
2022-03-20,222
2022-03-21,175
2022-03-22,174
2022-03-23,207
2022-03-24,182
2022-03-25,221
2022-03-26,237
2022-03-27,223
2022-03-28,207
2022-03-29,193
2022-03-30,221
2022-03-31,221
2022-04-01,207
2022-04-02,223
2022-04-03,237
2022-04-04,210
2022-04-05,192
2022-04-06,277
2022-04-07,211
2022-04-08,224
2022-04-09,245
2022-04-10,253
2022-04-11,193
2022-04-12,184
2022-04-13,184
2022-04-14,195
2022-04-15,211
2022-04-16,222
2022-04-17,248
2022-04-18,162
2022-04-19,213
2022-04-20,167
2022-04-21,190
2022-04-22,230
2022-04-23,240
2022-04-24,207
2022-04-25,185
2022-04-26,206
2022-04-27,185
2022-04-28,204
2022-04-29,216
2022-04-30,204
2022-05-01,280
2022-05-02,212
2022-05-03,139
2022-05-04,203
2022-05-05,186
